NameDeposit	OtherNames	CountryCode	Country	StateProvince	LatitudeSeconds	LatitudeMinutes	LatitudeDegrees	LongitudeSeconds	LongitudeMinutes	LongitudeDegrees	LongitudeDecimal	LatitudeDecimal	Type	DiscoveryDate	StartupDate	Includes	Prospect?	Comments	Map Number	AgeMY	Tonnage	Copper grade	Molybdenum grade	Silver grade	Gold grade	References	Minerals	Deposit Age	Assoc Deposits less 5km	Assoc Deposits less 10km	RocksinDeposit	RocksOnMap	RocksOnMapInDeposit	EmplacementDepthkm	SulfideArea	SulfideBAxis	SulfideAAxis	AlterAAxis	AlterBAxix	AlterArea	OreArea	OreAAxis	OreBAxis
Sokurkoiy		KAZN	Kazakhstan			32	46		18	74	74.3	46.53333333	17	1928			Yes	Small deposit with the reported average grades of 0.66% Cu and 0.005% Mo; and 0.1 –10 g/t Au in lump samples. Exposed. 	633	310		0	0	0	0	"Zhukov,N.M., Kolesnikov, V.V., Miroshnichenko, L.M., Egembaev, K.M., Pavlova, Z.N., Bakarasov, E.V., 1998, Copper deposits of Kazakhstan, reference book edited by Abdulin, A.A., and others: Ministry of Ecology and Natural Resources of the Republic of Kazakhstan, 136 p."	"alunite, azurite/malachite, bornite, chalcocite, chalcopyrite, chrysocolla, covellite, cuprite, dickite, enargite, gold, molybdenite, pyrite, sericite, tetrahedrite "	Middle-Late Carboniferous	"17, 21a"		"eruptive breccia, granite porphyry, felsite porphyry"		"andesite, granite, hornfels, quartz monzonite, skarn"					3	1.5	3.5			
Spiridonovskoe		KAZN	Kazakhstan			20	52		11	62	62.18333333	52.33333333	17				Yes	"Drilling data indicate small resources at 0.3 to 1.5% Cu, 0.01 to 0.05% Mo, and up to 0.2 g/t Au. 100% of the deposit area is covered by unlithified rocks. "	631			0	0	0	0	"Zhukov,N.M., Kolesnikov, V.V., Miroshnichenko, L.M., Egembaev, K.M., Pavlova, Z.N., Bakarasov, E.V., 1998, Copper deposits of Kazakhstan, reference book edited by Abdulin, A.A., and others: Ministry of Ecology and Natural Resources of the Republic of Kazakhstan, 136 p."	"bornite, carbonate, chalcocite, chalcopyrite, chlorite, covellite, cubanite, epidote, galena, malachite, molybdenite, prehnite, pyrite, sericite, sphalerite"				"dacite porphyry, rhyolite porphyry"		"chert, limestone, sandstone, welded tuff"					5	1	3.9			
Varvarinskoye		KAZN	Kazakhstan			1	53		34	62	62.56666667	53.01666667	20c	1979				100% of the deposit area is covered by Mesozoic-Cenozoic sediments up to 50 m thick. 	415	310	20.8	1.57	0	4.6	1.9	"Kazakhstan Minerals Corporation, 2000, Our properties: http://kazminco.com/prop/varva.htmlZhukov,N.M., Kolesnikov, V.V., Miroshnichenko, L.M., Egembaev, K.M., Pavlova, Z.N., Bakarasov, E.V., 1998, Copper deposits of Kazakhstan, reference book edited by Abdulin, A.A., and others: Ministry of Ecology and Natural Resources of the Republic of Kazakhstan, 136 p."	"arsenopyrite, Bi-sulfide, biotite, carbonate, chalcopyrite, chlorite, galena, garnet, gersdorffite, gold, magnetite, marcasite, nickeline, prehnite, pyrite, pyroxene, pyrrhotite, sphalerite, telluride "	Middle-Late Carboniferous 	"18b, 18c"		"breccia, diorite porphyry, hornfels, skarn "		"pillow andesitic basalt, basalt, granodiorite, limestone"										
Taldy-Bulak		KYRZ	Kyrgyzstan			42	42		39	75	75.65	42.7	20c						412	444	540	0.27	0	0	0.5	"Metal Mining Agency of Japan, 1997, Non-ferrous metal deposits of C.I.S. countries and Mongolia: Metal Mining Agency of Japan, 20 p.Jenchuraeva, R.J., 1997, Tectonic settings of porphyry-type mineralization and hydrothermal alteration in Paleozoic island arcs and active continental margins, Kyrghyz Range, (Tien Shan) Kyrghyzstan: Mineralium Deposita, v. 32, no. 5, p. 434–440.Jenchuraeva, R.J., and Maksumova, R.A., 1993,  Porphyry copper-gold mineralization in the ancient active continental margins of the Tien Shan:  Proceedings of the 29th International Geological Congress 1992, Mineral Resources Symposia Volume A, Resource Geology Special Issue, no. 15, Tokyo, p. 241–252."	"albite, Bi–minerals, carbonate, chalcopyrite, chlorite, epidote, kaolinite, molybdenite, montmorillonite, gold, pyrite, sericite, tourmaline, "	444			"diorite porphyry, quartz porphyry, monzodiorite porphyry, eruptive breccia"		"pillow andesitic basalt, basalt, diorite, granodiorite, limestone, quartz diorite"										
Buchim		MACA	Macedonia			31	41		33	22	22.55	41.51666667	20c		1979				382	25	150	0.3	0	0	0.35	"Herrington, R.J., First, D.M., and Kozelj, D., 2003, Copper porphyry deposits in Hungary, Serbia, Macedonia, Romania and Bulgaria, in Kelly, J.G., and others, eds., Europe’s major base metal deposits: Irish Association for Economic Geology, p. 303–321.Jancovic, S., Petkovic, M., Tomson, I.N., and Kravcov, V., 1980,  Porphyry copper deposits in the Serbo-Macedonian province, Southeastern Europe, in Jankovic, S., and Sillitoe, R.H., eds., European copper deposits: Proceedings of an International Symposium held at Bor, Yugoslavia, 18–22 September, 1979, Belgrade, p. 96–102.Serafimovski, T., Cifliganec, V., Yankovic, S., Boev, B., 1996, Genetic model of the Buchim porphyry copper deposit, Republic of Macedonia, in Popov, P., ed., Plate tectonic aspects of the Alpine metallogeny in the Carpatho-Balkan region: UNESCO IGCP Project No. 356, Proceedings of the Annual Meeting, Sofia, v. 1, p. 63–74. Strashimirov, S., Serafimovski, T., Kovachev, V., 1996, Temperatures of the ore-forming fluides in the Buchim porphyry copper deposit, Macedonia, by fluid inclusion studies: Geology of Ore Deposits (Geologiya Rudnykh Mestorozhdeni), v. 38, no. 4, p. 373–377 (in Russian)."	"actinolite, azurite/malachite, biotite, bismuthinite, bornite, bravoite, chalcocite, chalcopyrite, chlorite, covellite, cubanite, epidote, galena, gold, hematite, kaolinite, krennerite, limonite, luzonite, magnetite, molybdenite, petzite, pyrite, pyrrhotite, rutile, sericite, tenorite, tetrahedrite, valleriite"	25			"andesite, latite, quartz latite porphyry"	"diorite, granodiorite "	"amphibolite, andesite, conglomerate, dacite, diorite, diorite porphyry, quartz diorite, quartzite, schist, tonalite"		2.4	1.5	2						
Bongkud		MLYA	Malaysia	Sabah		2	6		45	116	116.75	6.033333333	20c	1999			Yes	"5 km long WNW porphyry Cu zone, intersects: 331m at 0.31% Cu, 0.7 g/t Au; 123 m at 0.43% Cu, 0.95 g/t Au; 74 m at 0.57% Cu, 0.95 g/t Au. Oxidized zone 45 m thick at 3.5% Cu.  "	526			0	0	0	0	"Feebrey, G.A., 2001, Exploration reviews: Asia, Philippines: SEG ( Society of Economic Geologists) Newsletter, April, no. 45, p. 35.Imai, A., 2000,  Genesis of the Mamut porphyry copper deposit, Sabah, East Malaysia: Resource Geology, v. 50, no. 1, p. 1–23. United Nations, 1985, Atlas of mineral resources of the ESCAP region, v. 1, Malaysia, explanatory brochure: Economic and Social Commission for Asia and the Pacific, Bangkok, Thailand, 16 p. "	Cu-oxides				"granodiorite porphyry, quartz monzonite porphyry"		"alaskite, andesite, andesitic dacite, dacite, dacite porphyry, diorite, granodiorite, latite, limestone, marble, quartz monzonite, quartzite, trachyte"										
Mamut 		MLYA	Malaysia	Sabah		2	6		28	116	116.4666667	6.033333333	20c	1964	1975			"In concentrate: 18.7 g/t Au, 0.57 g/t Pt, 1.7 g/t Pd. "	525	7	196	0.48	0.001	2.5	0.5	"Kirk, H.J.C., 1967, Porphyry copper deposit in northern Sabah, Malaysia: Transactions of the Institution of Mining and Metallurgy, v. 76, no. 732, p. B212–B213.Kosaka, H. and Wakita, K., 1978,  Some geologic features of the Mamut porphyry copper deposit, Sabah, Malaysia: Economic Geology, v. 73, p. 618–627.Imai, A., 2000, Genesis of the Mamut porphyry copper deposit, Sabah, East Malaysia:  Resource Geology, v. 50, no. 1, p. 1–23. Nagano, K., Takenouchi, S., Imai, H., and Shoji, T., 1977,  Fluid inclusions study in the Mamut porphyry copper deposit, Sabah, Malaysia: Mining Geology, v. 27, p. 201–212.  Taylor, D.,  and Van Leeuwen, T., 1980,  Porphyry -type deposits in Southeast Asia: Mining Geology Special Issue, no. 18, p. 95–116. Clark, A.H., 1993, Are outsize porphyry copper deposits either anatomically or environmentally distinctive?, in Whiting, B.H., Hodgson, C.J., and Mason, R., eds., Giant ore deposits:  Society of Economic Geologists Special Publication 2, p. 213–283.United Nations, 1985, Atlas of mineral resources of the ESCAP region, v. 1, Malaysia, explanatory brochure: Economic and Social Commission for Asia and the Pacific, Bangkok, Thailand, 16 p. Tarkian, M., and Stribrny, B., 1999, Platinum-group elements in porphyry copper deposits: a reconnaissance study: Mineralogy and Petrology, v. 65, p. 161–183. "	"actinolite, azurite/malachite, biotite, bornite, calcite, chalcocite, chalcopyrite, chlorite, covellite, cubanite, electrum, epidote, galena, garnet, goethite/limonite, gold, hematite/specularite, jamesonite/boulangerite, magnetite, molybdenite, pyrite, pyrrhotite, sericite, silver, sphalerite, stannite, stibnite, tetrahedrite/tennantite, tourmaline, tremolite"	7	22c		"adamellite porphyry, granodiorite porphyry, hornfels, quartz monzonite porphyry "	"breccia, mudstone"	"granite porphyry, quartz diorite, granodiorite, sedimentary rocks"		2.3	1.3	2.2				0.27	0.7	0.5
Mengpur		MLYA	Malaysia	Pahang		51	3		52	102	102.8666667	3.85	20c						523	245	45	1.8	0	0	0.6	"Wong, W.S., and Lee, A.K., 1986, Gold investigation in the Sungai Luit area, Mengapur base metal district, Pahang: GEOSEAV Proceedings, v. 2, Bulletin of the Geological Society of Malaysia, no.20, p.667–700.United Nations, 1985, Atlas of mineral resources of the ESCAP region, v. 1, Malaysia, explanatory brochure: Economic and Social Commission for Asia and the Pacific, Bangkok, Thailand, 16 p. "	"chalcopyrite, galena, gold, molybdenite, pyrite, sphalerite"	Lower Triassic ?	"18b, 39a"		"hornfels, skarn"	"conglomerate, sandstone, siltstone"	"amphibolite, shale"										
Nungkok		MLYA	Malaysia	Sabah		6	6		28	116	116.4666667	6.1	17	before 1967			Yes	0.42 to 0.57% Cu. In drill core 0.008 to 0.025% Mo.	524	8						"Saigusa, M., 1973,  Relationship between copper contents in soil and copper grade in ore bodies calculated by drill core assay of some porphyry copper deposits in tropical terrain: Mining Geology, v. 23, p. 283–294.Nagano, K., Takenouchi, S., Imai, H., and Shoji, T., 1977,  Fluid inclusions study in the Mamut porphyry copper deposit, Sabah, Malaysia: Mining Geology, v. 27, p. 201–212.   Taylor, D.,  and Van Leeuwen, T., 1980,  Porphyry -type deposits in Southeast Asia: Mining Geology Special Issue, no 18, p. 95–116.United Nations, 1985, Atlas of mineral resources of the ESCAP region, v.1, Malaysia, explanatory brochure: Economic and Social Commission for Asia and the Pacific, Bangkok, Thailand, 16 p. "	"arsenopyrite, chalcopyrite, gold, hematite, molybdenite, pyrrhotite, pyrite, scheelite, sericite, sphalerite, tourmaline"				"quartz diorite porphyry, quartz monzonite porphyry"		"andesite, basalt, diorite, granodiorite, rhyolite pyroclastics, tuff"								0.05	0.4	0.15
Batopilas		MXCO	Mexico	Chihuahua		2	27		-42	-107	-107.7	27.03333333	20c	1632		"Tahonas Corralitos, Satevo"	Yes	Resources: 6 Mt at 0.4% Cu and 0.8 g/t Au.	188	51		0	0	0	0	"Barton, M.D., Staude, J.-M.G., Zurcher, L., and Megaw, P.K.M., 1995, Porphyry copper and other intrusion-related mineralization in Mexico, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 487–524.Goodell, P.C., 1995, Porphyry deposits along the Batopilas lineament, Chihuahua, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 544.Wilkerson, G., Quingping, D., Llavona, R., and Goodell, P., 1988, Batopilas mining district, Mexico: Economic Geology, v. 83, p. 1721–1736. "	"actinolite, chalcanthite, chalcopyrite, chlorite, galena, limonite, molybdenite, pyrite, sericite, sphalerite, tetrahedrite/tennantite, zeolite"	51	"17, 22c"	17	"breccia, basalt dike, dacite porphyry"		"andesite, basalt, granitoid, metamorphic rocks"		1.7	1	2.2						
Cabello Blanco		MXCO	Mexico			27	19		-51	-96	-96.85	19.45	20c				Yes	0.11 to 0.18% Cu and 0.23 to 0.72 g/t Au.	197			0	0	0	0	"Almaden News Release, 2001, March 6, 1998 to October 2, 2001: www.almadenresources.com/releases/NewsNoranda News Release, 2001, October 2: www.noranda.com"	"barite, bornite, chalcopyrite, chlorite, clay minerals, epidote, galena, magnetite, pyrite, sphalerite"		"18b, 25e"		"feldspar porphyry, skarn"		"alaskite, andesite, diorite, granodiorite, diorite, quartz monzonite, granodiorite, sandstone, sedimentary breccia, skarn"		1.7	1	2.2						
Cananea		MXCO	Mexico	Sonora	15	57	30		-19	-110	-110.3166667	30.95416667	21a		1899			Exposed.	178	55.5	7140	0.42	0.008	0.58	0.012	"Anderson, T.H., and Silver, L.T., U-Pb isotope ages of granitic plutons near Cananea, Sonora: Economic Geology, v. 72, p. 827–836.Ayala F., Ramon, and Chavez, W.X., Jr., 1999, Contribution on the Cananea district: SEG (Society of Economic Geologists) Newsletter, no. 38, p. 35.Barton, M.D., Staude, J.-M.G., Zurcher, Lukas, and Megaw, P.K.M., 1995, Porphyry copper and other intrusion-related mineralization in Mexico, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 487–524.Bushnell, S.E., 1988, Mineralization at Cananea, Sonora, Mexico, and the paragenesis and zoning of breccia pipes in quartzofeldspathic rock: Economic Geology, v. 83, p. 1760-1781.Casaceli, R.J., 1992, Mexico exploration and mining activity, in Randol at Minexpo ‘92: Golden, Colorado, Randol International Ltd., p. 11-27.Einaudi, M.T., 1982, Description of skarns associated with porphyry copper plutons, in Titley, S.R., ed., Advances in geology of the porphyry copper deposits, southwestern North America: Tucson, University of Arizona Press, p. 139-183.Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera:  Tucson, Arizona Geological Society Digest 20, p. 35-68.Meinert, L.D., 1982, Skarn, manto, and breccia pipe formation in sedimentary rocks of the Cananea Mining District, Sonora, Mexico: Economic Geology, v. 77, p. 919–949. Perry, V.D., 1961, The significance of mineralized breccia pipes: Mining Engineering, April, p. 367–376.Salas, G.P., 1991, Cananea copper deposit, Sonora, in Salas, G.P., ed., Economic geology, Mexico: Boulder, Colorado, Geological Society of America, The Geology of North America, v. P-3, p. 199–200."	"actinolite, adularia, aikinite, alunite, amphibole, argentite, biotite/phlogopite, bornite, carbonate, chalcocite/digenite, chalcopyrite, chlorite, clay minerals, covellite, diopside, enargite/luzonite, epidote, galena, garnet, hematite, magnetite, molybdenite, pyrite, pyroxene, rutile, sericite, siderite, sphalerite, tetrahedrite/tennantite, tourmaline, wollastonite"	58–53	"17, 18a, 19a"	17	"aplite, breccia, hornfels, lamprophyre, quartz monzonite porphyry, skarn "	"dacite, diorite, granite, granodiorite, latite, syenite, tuff"	"andesite, basalt, diorite, granodiorite"		22	4	7				3.5	3	1.5
Cerro Colorado		MXCO	Mexico	Chihuahua	8	15	26	-46	-19	-107	-107.3294444	26.25222222	17				Yes	"No drilling resource: 3 Mt, 0.3% Cu, 0.4 g/t Au."	190	46		0	0	0	0	"Barton, M.D., Staude, J.-M.G., Zurcher, L., and Megaw, P.K.M., 1995, Porphyry copper and other intrusion-related mineralization in Mexico, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 487–524.Damon, P.E., Shafiqullah, M., and Clark, K.F., 1983, Geochronology of the porphyry copper deposits and related mineralization of Mexico: Canadian Journal of Earth Sciences, v. 20 p. 1052–1071. Goodell, P.C., 1995, Porphyry deposits along the Batopilas lineament, Chihuahua, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 544.Wilkerson, G., 1988, Batopilas mining district, Mexico: Economic Geology, v. 83, p. 1721–1736. "	"actinolite, chalcocite, chalcopyrite, chlorite, galena, gold, pyrite, sericite, sphalerite, tetrahedrite/tennantite, zeolite"	46		"20c, 22c"	"breccia, granodiorite porphyry"		"diorite, quartz monzonite"										
Cuatro Hermanos		MXCO	Mexico	Sonora	10	23	28	-25	-39	-109	-109.6569444	28.38611111	17						186	56.5	233	0.431	0.035	4	0	"Barton, M.D., Staude, J.-M.G., Zurcher, L., and Megaw, P.K.M., 1995, Porphyry copper and other intrusion-related mineralization in Mexico, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 487–524.Fitch, D.C., 1993, Mexico active metals exploration and mining properties report: Littleton, Colorado, Mining Business Digest, xx p.Anonymous, 1993, Morgain increases copper reserves: The Northern Miner, October 25, p. B6.Sillitoe, R.H., 1976, A reconnaissance of the Mexican porphyry copper belt: Transactions of the Institution of Mining and Metallurgy, Section B, v. 85, p. B170–B189. "	"biotite, chalcocite, chalcopyrite, gold, goethite, hematite, jarosite, malachite, molybdenite, pyrite, sericite, tourmaline"	58–55			"breccia, dacite porphyry, tonalite porphyry"		"granite, monzodiorite, quartz monzonite,"										
Cumobabi	Cumpas	MXCO	Mexico	Sonora	31	48	29	-15	-49	-109	-109.8208333	29.80861111	21a		1980	"San Judas, Transvaal, Molybdeno"		Exposed.	183	51.5	67	0.266	0.099	0	0	"Barton, M.D., Staude, J.-M.G., Zurcher, L., and Megaw, P.K.M., 1995, Porphyry copper and other intrusion-related mineralization in Mexico, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 487–524.Carten, R.B., White, W.H., and Stein, H.J., 1993, High-grade granite-related molybdenum systems: classification and origin, in Kirkham, R.V., Sinclair, W.D., Thorpe, R.I., and Duke, J.M., eds., Mineral deposit modeling: Geological Association of Canada Special Paper 40, p. 521–554.Damon, P.E., Shafiqullah, M., and Clark, K.F., 1983, Geochronology of the porphyry copper deposits and related mineralization of Mexico: Canadian Journal of Earth Sciences, v. 20 p. 1052–1071. Sherkenbach, D.A., Sawkins, F.J., and Seyfried, W.E., Jr., 1985, Geologic, fluid inclusions and geochemical studies of the mineralized breccias at Cumobabi, Sonora, Mexico: Economic Geology, v. 80, p. 1566–1592. "	"albite, anhydrite, apatite, biotite, chalcopyrite, chlorite, epidote, fluorite, galena, kaolinite, molybdenite, montmorillonite, pyrite, rutile, sericite, siderite, sphalerite, tetrahedrite, tourmaline "	63–40			"breccia, quartz monzonite porphyry, rhyolite porphyry"		"andesite, basalt, diorite, granodiorite"										
El Arco		MXCO	Mexico	Bajo de California		2	28		-34	-113	-113.5666667	28.03333333	17		1935				184	107	660	0.6	0	0	0.2	"Coolbaugh, D.F., Hernandez, A.O., Perez, A.E., and Muller, R.M., 1995, El Arco porphyry copper deposit, Baja California, Mexico, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 525–534.Damon, P.E., Shafiqullah, M., and Clark, K.F., 1983, Geochronology of the porphyry copper deposits and related mineralization of Mexico: Canadian Journal of Earth Sciences, v. 20 p. 1052–1071. Hollister, V.F., 1978, Geology of the porphyry copper deposits of the Western Hemisphere: New York, American Institute of Mining and Metallurgical Engineers, 219 p.Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera:  Tucson, Arizona Geological Society Digest 20, p. 35-68."	"apatite, azurite/malachite, biotite, carbonate, chalcocite/digenite, chalcopyrite, chlorite, chrysocolla, copper, copper wad, covellite, cuprite, dioptase, epidote, goethite/limonite, galena, gold, kaolinite, molybdenite, pyrite, sericite, sphalerite"	107		"39a, Cu, Au in schistose andesite"	"andesite breccia, andesite porphyry, aplite, diabase dikes, granodiorite porphyry"	"basalt, gabbro, granite, peridotite, rhyodacite, rhyolite, serpentinite, tonalite"	"granodiorite, quartz monzonite"					3.5	3.5	9.6	1.7	1.5	1.4
El Batamote	Batamote	MXCO	Mexico	Sonora	55	28	30	-10	-45	-109	-109.7527778	30.48194444	17				Yes		179	57		0	0	0	0	"Damon, P.E., Shafiqullah, M., and Clark, K.F., 1983, Geochronology of the porphyry copper deposits and related mineralization of Mexico: Canadian Journal of Earth Sciences, v. 20 p. 1052–1071. Leonard, K.R., 1989, Preliminary deposit–type map of northwester Mexico: U.S. Geological Survey Open-File Report no. 89–158, 350p.Perez, A.E., 1978, Metallogenetic map of Sonora, Mexico: Arizona Geological Society Digest, v. 11, p. 145–154.Ruiz, J., 1986, Distribution of mineral deposits in Chihuahua and Sonora, Mexico: Arizona Geological Society Digest, v. 11, p. 159–169.Sillitoe, R.H., 1976, A reconnaissance of the Mexican porphyry copper belt: Transactions of the Institution of Mining and Metallurgy, Section B, p. B170–B189. "	"biotite, calcite, chalcopyrite, chlorite, epidote, goethite, hematite, jarosite, malachite, magnetite, molybdenite, pyrite, sericite, tourmaline"	57		"17, 22c"	"andesite dikes, breccia, quartz monzonite porphyry"		"andesite, pillow andesitic basalt, quartz diorite, quartz porphyry, quartz diorite porphyry"		0.2	0.3	0.8						
Iguaran		MXCO	Mexico	Michoacan	51	52	18	-27	-38	-101	-101.6408333	18.88083333	17		End of 19th century			7 Mt at 1.29% Cu and 0.04% WO3 was mined. 	196	34		0	0	0	0	"Damon, P.E., Shafiqullah, M., and Clark, K.F., 1983, Geochronology of the porphyry copper deposits and related mineralization of Mexico: Canadian Journal of Earth Sciences, v. 20 p. 1052–1071. Osoria, A.H., Leija, N.V., and Esquivel, R., 1991, Economic geology of the Inguaran mining district, Michoacan, in Salas, G.P., ed., Economic geology, Mexico: Boulder, Colorado, Geological Society of America, The Geology of North America, v. P-3, p. 365–368.Sawkins, F.J., 1979, Fluid inclusion studies of the Inguaran copper-bearing breccia pipes, Michaocan, Mexico: Economic Geology, v. 74, p. 924–927.Solano-Rico, B., 1995, Some geologic and exploration characteristics of porphyry copper deposits in the Sierra Madre del Sur province, Mexico,  in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 545–550.  Sillitoe, R.H., 1976, A reconnaissance of the Mexican porphyry copper belt: Transactions of the Institution of Mining and Metallurgy, Section B, p. B170–B189. "	"actinolite, biotite, calcite, chalcocite, chalcopyrite, chlorite, epidote, goethite, pyrite, scheelite, sericite, tourmaline"	36–32		17	"breccia, quartz monzonite porphyry "	"andesite porphyry, andesite tuff, basalt "	"andesite, dacite, granodiorite, quartz monzodiorite, rhyodacite, phyllite, clastic rocks, volcaniclastic rocks"										
La Caridad		MXCO	Mexico	Sonora		18	30		-30	-109	-109.5	30.3	17	1896	early1900s; 1970s			Exposed.	182	51	1800	0.452	0.0247	0	0	"Damon, P.E., Shafiqullah, M., and Clark, K.F., 1983, Geochronology of the porphyry copper deposits and related mineralization of Mexico: Canadian Journal of Earth Sciences, v. 20 p. 1052–1071. Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera:  Tucson, Arizona Geological Society Digest 20, p. 35–68.Randol International Ltd., 1993, Mexican mining directory 1994: Golden, Colorado, Randol International Ltd., 250 p.Saegart, W.E., Sell, J.D., and Kilpatrick, B.E., 1974, Geology and mineralization of La Caridad porphyry copper deposit, Sonora, Mexico: Economic Geology, v. 69, p. 1060–1077.Salas, G.P., 1991, La Caridad disseminated copper deposits, Sonora, in Salas, G.P., ed., Economic geology, Mexico: Boulder, Colorado, Geological Society of America, The Geology of North America, v. P-3, p. 201–203.Sillitoe, R.H., 1976, A reconnaissance of the Mexican porphyry copper belt: Transactions of the Institution of Mining and Metallurgy, Section B, p. B170–B189. "	"biotite, bornite, chalcocite, chalcopyrite, chrysocolla, chlorite, epidote, ferrimolybdite, galena, goethite/limonite, hematite, jarosite, kaolinite, malachite, molybdenite, neotocite, pyrite, sericite, sphalerite, tourmaline"	53–49		17	"breccia, pegmatite, quartz monzonite porphyry"	rhyolite	"diorite, quartz monzonite, sedimentary rocks, volcanic rocks"	1				4.5	4	14	3.2	2.4	1.7
La Florida	"La Florida-Barrigon, Mina La Lilly"	MXCO	Mexico	Sonora	2	23	30	-50	-43	-109	-109.7305556	30.38388889	17					Exposed.	180	52	135	0.33	0	0	0	"Damon, P.E., Shafiqullah, M., and Clark, K.F., 1983, Geochronology of the porphyry copper deposits and related mineralization of Mexico: Canadian Journal of Earth Sciences, v. 20 p. 1052–1071. Sillitoe, R.H., 1976, A reconnaissance of the Mexican porphyry copper belt: Transactions of the Institution of Mining and Metallurgy, Section B, p. B170–B189. Theodore, T.G., and de Witt, M.P., 1976, Porphyry-type metallization and alteration at La Florida de Nacozari, Sonora, Mexico: U.S. Geological Survey Open-File Report 76–760, 28 p. Theodore, T.G., and de Wit, M.P., 1978, Porphyry-type metallization and alteration at La Florida de Nacozari, Sonora, Mexico: Journal of Research of the U.S. Geological Survey, v. 6, no. 1, p. 59–72."	"apatite, biotite, calcite, chalcopyrite, chlorite, chrysocolla, epidote, kaolinite, magnetite, malachite, molybdenite, pyrite, sericite, sphalerite, sphene, tourmaline, zeolite "	52	18b		"dacite porphyry, rhyolite dike, skarn"	"ignimbrite, rhyolite tuff"	"andesite, andesite agglomerate, basaltic andesite, conglomerate, dacite, dacite pyroclastics, limestone, quartz diorite, quartz porphyry, tonalite, tuff, tuffaceous sandstone, tuffaceous siltstone"										
La Reyna		MXCO	Mexico	Sinaloa		20	23		-4	-106	-106.0666667	23.33333333	20c				Yes		192		33	0.5	0	0	0.4	"Anonymous, 1995, Cambior fleshes out Reyna copper-gold play: The Northern Miner, October 23, p. 14. Page, R., 1995, Mexico. Exploration review: SEG (Society of Economic Geologists) Newsletter, no. 23, p. 27. Mexican Mining Subsidiaries, 1996, Aurizon Mines Ltd., Internet Press Release: http://www.imdex.com/c_a#Aurizon20Mines20Ltd "	"chalcopyrite, pyrite, tourmaline"				breccia		"andesite flow, andesite pyroclastics, limestone"										
